U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,,,
Mexico (Total) (3),"2,524,261","2,417,122","2,837,327","2,383,351","2,410,266","2,631,167","2,956,915","2,422,246","2,094,333","2,512,603","2,598,722","3,406,084","31,194,398",,,,,,,
Mexico (Air),"703,811","751,950","934,935","732,306","714,455","897,872","900,988","635,614","450,156","587,448","674,150","950,068","8,933,753",,,,,,,
Canada (Total),"536,185","625,767","768,588","805,860","1,164,428","1,684,163","2,306,960","1,950,223","1,415,326","1,012,488","712,958","911,921","13,894,867",,,,,,,
Canada (Air),"204,815","240,007","283,568","283,665","384,089","553,336","623,185","532,549","448,043","356,702","269,781","335,799","4,515,539",,,,,,,
North America,"3,060,446","3,042,889","3,605,915","3,189,211","3,574,694","4,315,330","5,263,875","4,372,469","3,509,659","3,525,091","3,311,680","4,318,005","45,089,265",,,,,,,
,,,,,,,,,,,,,,,,,,,,
Grand Total ,"5,374,945","5,253,191","6,596,701","5,882,169","6,771,961","8,275,983","9,122,195","7,420,570","6,276,564","6,042,845","5,766,891","7,442,151","80,226,167",,,,,,,
,,,,,,,,,,,,,,,,,,,,
2017/2016 ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,,,,,,,
Western Hemisphere (U.S. Outbound),,,,,,,,,,,,,,,,,,,,
Caribbean,5.6%,6.2%,1.6%,13.9%,11.3%,7.7%,7.7%,11.3%,-14.5%,4.8%,3.7%,0.4%,5.6%,,,,,,,
Mexico (Total),5.0%,7.7%,9.3%,21.0%,14.6%,17.5%,12.0%,11.8%,15.8%,8.2%,18.1%,9.4%,12.4%,,,,,,,
Mexico (Air),8.7%,8.2%,7.7%,16.8%,13.0%,12.3%,11.6%,11.4%,3.8%,3.1%,8.7%,8.9%,9.8%,,,,,,,
Canada (Total),5.7%,-1.1%,-5.8%,9.3%,-0.3%,7.4%,-1.2%,6.0%,3.2%,4.8%,5.9%,3.6%,3.1%,,,,,,,
Canada (Air),12.9%,-3.5%,3.4%,12.1%,5.3%,8.7%,1.7%,8.7%,1.9%,9.1%,14.5%,9.7%,6.7%,,,,,,,
Other Regions: ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Europe,13.9%,13.6%,16.6%,24.3%,16.9%,16.5%,12.9%,20.0%,16.6%,13.9%,15.1%,9.5%,16.0%,,,,,,,
Asia,9.8%,10.4%,7.0%,12.6%,5.6%,7.6%,9.6%,8.1%,3.7%,3.4%,5.9%,4.2%,7.2%,,,,,,,
So America,-12.1%,-8.5%,-9.6%,2.3%,-4.0%,-4.5%,-8.0%,-9.5%,-7.7%,4.3%,7.4%,1.4%,-4.2%,,,,,,,
Cent Am,-6.7%,-3.3%,-3.1%,13.6%,2.0%,5.3%,0.1%,1.7%,0.6%,4.9%,7.0%,1.7%,1.6%,,,,,,,
Oceania,9.6%,12.4%,12.1%,21.5%,0.5%,-0.4%,3.0%,-4.4%,0.2%,4.1%,11.5%,10.3%,7.1%,,,,,,,
Middle East,10.4%,-0.8%,-5.3%,18.6%,0.8%,6.9%,6.9%,13.6%,1.7%,13.9%,5.9%,2.6%,6.0%,,,,,,,
Africa,-2.9%,0.7%,-2.3%,24.5%,5.6%,22.4%,11.4%,22.0%,4.3%,13.1%,17.2%,6.7%,10.5%,,,,,,,
Overseas,6.4%,6.2%,5.6%,17.3%,10.7%,10.9%,8.6%,12.8%,6.8%,8.9%,8.9%,4.6%,9.1%,,,,,,,
Total,5.7%,6.0%,5.9%,17.7%,10.2%,12.3%,7.2%,10.7%,9.0%,7.9%,12.7%,6.6%,9.3%,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
