U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,
Canada (Air),18.2%,34.9%,30.9%,14.9%,13.9%,16.3%,15.6%,10.2%,20.9%,14.4%,13.7%,15.3%,17.0%,,,,,
Other Regions: ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Europe,5.0%,9.0%,8.6%,5.4%,7.6%,5.5%,9.0%,6.0%,5.9%,7.8%,14.3%,18.3%,8.1%,,,,,
Asia,10.7%,8.0%,9.1%,9.1%,10.5%,12.0%,11.3%,6.2%,13.1%,10.3%,14.6%,17.7%,11.2%,,,,,
So America,18.9%,18.5%,19.0%,15.0%,9.8%,11.1%,10.5%,13.8%,0.3%,-5.3%,-6.2%,-6.3%,7.5%,,,,,
Cent Am,15.5%,13.4%,12.8%,6.4%,9.9%,5.9%,8.5%,5.4%,10.5%,2.2%,-4.0%,-2.0%,6.9%,,,,,
Oceania,9.4%,7.7%,11.1%,11.3%,14.4%,7.4%,14.4%,22.6%,12.8%,11.3%,16.7%,15.1%,12.6%,,,,,
Middle East,9.8%,11.7%,11.2%,1.1%,3.4%,12.0%,10.9%,5.2%,4.0%,-3.8%,4.5%,5.2%,6.4%,,,,,
Africa,6.3%,11.4%,14.2%,7.1%,3.6%,2.6%,5.1%,-2.0%,0.4%,-0.2%,3.2%,1.3%,4.1%,,,,,
Overseas,8.5%,9.0%,9.6%,5.6%,6.2%,6.3%,8.3%,4.8%,6.4%,3.8%,8.2%,9.7%,7.2%,,,,,
Total,9.6%,10.7%,12.6%,6.2%,5.9%,6.2%,9.8%,4.7%,8.2%,9.5%,6.4%,9.0%,8.1%,,,,,
