U.S. CITIZEN TRAVEL TO INTERNATIONAL REGIONS,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,YTD,,,
,,,,,,,,,,,,,Total,% Change,Market,,,
North America,"2,192,791","2,166,699","2,537,419","2,211,563","2,492,388","3,197,810","3,742,478","3,756,168","2,523,977","2,325,028","2,343,200","2,838,651","32,328,170",,,,,
,,,,,,,,,,,,,,,,,,
Grand Total ,"4,128,529","3,988,668","5,071,509","4,415,300","5,151,709","6,519,981","6,838,217","6,362,745","4,727,712","4,450,393","4,359,906","5,328,966","61,343,633",,,,,
,,,,,,,,,,,,,,,,,,
2014/2013 ,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,,,,,
Western Hemisphere (U.S. Outbound),,,,,,,,,,,,,,,,,,
Caribbean,6.5%,7.4%,1.4%,15.5%,16.0%,9.9%,12.5%,10.6%,9.5%,10.2%,6.9%,9.0%,9.6%,,,,,
Mexico (Total),19.4%,18.8%,26.2%,27.7%,39.1%,24.0%,21.2%,12.8%,10.4%,23.6%,28.9%,35.5%,24.1%,,,,,
Mexico (Air),15.6%,14.3%,8.2%,17.7%,16.5%,14.3%,19.4%,11.5%,1.6%,-2.1%,5.9%,8.1%,11.4%,,,,,
Canada (Total),-1.2%,-4.1%,-13.4%,9.7%,2.8%,-1.6%,0.4%,0.4%,0.7%,6.5%,-3.9%,4.6%,0.3%,,,,,
Canada (Air),-0.5%,-0.2%,-0.3%,6.2%,9.4%,8.2%,8.1%,4.5%,5.3%,8.9%,6.1%,7.3%,5.9%,,,,,
Other Regions: ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Europe,2.6%,3.4%,1.2%,6.5%,8.3%,4.2%,6.2%,2.1%,6.2%,3.4%,2.3%,0.4%,4.2%,,,,,
Asia,1.1%,4.8%,-0.4%,8.1%,3.2%,7.6%,8.6%,5.2%,7.4%,2.0%,-0.3%,3.9%,4.2%,,,,,
So America,1.9%,-0.7%,-3.5%,-1.4%,3.7%,21.0%,1.5%,-3.0%,1.3%,-0.3%,-1.1%,1.9%,2.1%,,,,,
Cent Am,9.5%,10.9%,5.7%,19.0%,10.8%,8.2%,10.7%,6.3%,3.9%,6.2%,1.3%,3.5%,8.1%,,,,,
Oceania,0.8%,9.0%,10.2%,1.8%,15.4%,-1.5%,2.2%,2.4%,2.5%,8.0%,6.7%,3.9%,5.2%,,,,,
Middle East,8.5%,9.8%,9.2%,18.7%,12.2%,7.7%,6.5%,6.5%,20.4%,10.0%,15.8%,28.0%,12.7%,,,,,
Africa,-7.7%,-7.4%,-9.0%,9.4%,3.9%,4.7%,11.9%,3.6%,9.1%,-4.2%,-5.6%,4.9%,1.7%,,,,,
Overseas,4.1%,5.7%,1.6%,10.2%,9.3%,7.1%,8.1%,4.6%,7.2%,4.7%,3.5%,5.3%,6.1%,,,,,
Total,9.6%,9.7%,8.7%,15.9%,16.2%,9.0%,9.5%,5.8%,6.2%,11.1%,11.9%,17.3%,11.1%,,,,,
